Rank  %Cov   Missing  File
--------------------------
   1    0.0      1372  src/devsynth/application/edrr/coordinator.py
   2    0.0      1054  src/devsynth/interface/webui.py
   3    0.0       626  src/devsynth/application/collaboration/wsde_team_extended.py
   4    0.0       605  src/devsynth/application/code_analysis/ast_transformer.py
   5    0.0       528  src/devsynth/domain/models/wsde_knowledge.py
   6    0.0       523  src/devsynth/application/ingestion/__init__.py
   7    0.0       512  src/devsynth/application/code_analysis/project_state_analyzer.py
   8    0.0       511  src/devsynth/application/memory/adapters/graph_memory_adapter.py
   9    0.0       480  src/devsynth/application/requirements/dialectical_reasoner.py
  10    0.0       466  src/devsynth/application/collaboration/collaboration_memory_utils.py
  11    0.0       461  src/devsynth/application/memory/sync_manager.py
  12    0.0       421  src/devsynth/interface/agentapi.py
  13    0.0       420  src/devsynth/application/memory/chromadb_store.py
  14    0.0       413  src/devsynth/domain/models/wsde_decision_making.py
  15    0.0       409  src/devsynth/application/collaboration/peer_review.py
  16    0.0       409  src/devsynth/interface/agentapi_enhanced.py
  17    0.0       407  src/devsynth/application/collaboration/wsde_team_consensus.py
  18    0.0       390  src/devsynth/application/edrr/edrr_phase_transitions.py
  19    0.0       378  src/devsynth/application/cli/requirements_commands.py
  20    0.0       356  src/devsynth/application/collaboration/agent_collaboration.py
  21    0.0       343  src/devsynth/application/memory/memory_manager.py
  22    0.0       334  src/devsynth/domain/models/project.py
  23    0.0       331  src/devsynth/application/memory/adapters/enhanced_graph_memory_adapter.py
  24    0.0       308  src/devsynth/application/memory/fallback.py
  25    0.0       299  src/devsynth/application/memory/rdflib_store.py
  26    0.0       284  src/devsynth/adapters/memory/memory_adapter.py
  27    0.0       284  src/devsynth/application/memory/json_file_store.py
  28    0.0       282  src/devsynth/application/prompts/auto_tuning.py
  29    0.0       280  src/devsynth/adapters/chromadb_memory_store.py
  30    0.0       277  src/devsynth/application/code_analysis/self_analyzer.py
  31    0.0       277  src/devsynth/testing/run_tests.py
  32    0.0       261  src/devsynth/application/memory/duckdb_store.py
  33    0.0       255  src/devsynth/application/memory/faiss_store.py
  34    0.0       250  src/devsynth/domain/models/wsde_enhanced_dialectical.py
  35    0.0       248  src/devsynth/application/memory/lmdb_store.py
  36    0.0       240  src/devsynth/application/cli/ingest_cmd.py
  37    0.0       234  src/devsynth/adapters/kuzu_memory_store.py
  38    0.0       227  src/devsynth/adapters/cli/typer_adapter.py
  39    0.0       227  src/devsynth/application/agents/wsde_memory_integration.py
  40    0.0       221  src/devsynth/application/documentation/documentation_fetcher.py
  41    0.0       217  src/devsynth/application/edrr/coordinator_core.py
  42    0.0       216  src/devsynth/application/edrr/edrr_coordinator_enhanced.py
  43    0.0       215  src/devsynth/application/code_analysis/transformer.py
  44    0.0       214  src/devsynth/application/promises/agent.py
  45    0.0       210  src/devsynth/application/memory/kuzu_store.py
  46    0.0       206  src/devsynth/application/code_analysis/analyzer.py
  47    0.0       205  src/devsynth/interface/webui_bridge.py
  48    0.0       202  src/devsynth/application/memory/recovery.py
  49    0.0       201  src/devsynth/application/collaboration/wsde_team_task_management.py
  50    0.0       200  src/devsynth/application/promises/interface.py
